Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2015-01-12 21:00:00	264.753	266.989	262.65	265.295	211.57	56067.77	265.01
2015-01-12 22:00:00	265.264	266.992	264	265.587	220.15	58558.33	266
2015-01-12 23:00:00	266.884	266.989	263.3	264.293	177.45	46891.36	264.25
2015-01-13 00:00:00	263.933	265.002	257.3	257.3	844.11	220179.23	260.84
2015-01-13 01:00:00	257.302	259.986	248.05	251	3333.91	844305.06	253.25
2015-01-13 02:00:00	251	255.737	249.503	250.665	987.25	248186.3	251.39
2015-01-13 03:00:00	250.662	251.123	230	239.092	2750.21	661814.42	240.64
2015-01-13 04:00:00	239.092	247.824	235.155	244.02	1289.59	310455.2	240.74
2015-01-13 05:00:00	244.02	244.82	238	241.706	947.81	228896.7	241.5
2015-01-13 06:00:00	241.706	246.551	239.407	243.203	665.88	161996.21	243.28
2015-01-13 07:00:00	243.202	244.096	235	239.113	1083.56	260144.96	240.08
2015-01-13 08:00:00	239.283	242.687	235.629	240.956	680.66	162902.22	239.33
2015-01-13 09:00:00	240.79	242.409	238.5	239.992	510.68	122407.74	239.69
2015-01-13 10:00:00	239.015	239.981	223.822	227.031	2930.56	671445.05	229.12
2015-01-13 11:00:00	227.131	230	221	223.946	1849.62	417704.31	225.83
2015-01-13 12:00:00	224	229.22	221.612	227.198	1787.7	402791.01	225.31
2015-01-13 13:00:00	227.269	255	226.522	234.584	3222.33	772412.53	239.71
2015-01-13 14:00:00	234.584	239.5	226.939	230.301	1522.42	351363.97	230.79
2015-01-13 15:00:00	230.33	236.932	229.528	234	962.66	225288.34	234.03
2015-01-13 16:00:00	234.001	236.965	226.11	228.216	932.64	216841.61	232.5
2015-01-13 17:00:00	228.214	229.957	226.5	226.5	619.03	141540.94	228.65
2015-01-13 18:00:00	226.5	229	225.057	228.278	1312.37	298909.7	227.76
2015-01-13 19:00:00	228.278	236.999	228.024	233.277	989.25	229251.47	231.74
2015-01-13 20:00:00	233.324	234	230.649	232	419.23	97409.67	232.35
2015-01-13 21:00:00	232.045	233.9	226.458	231.522	1126.77	259229.52	230.06
